"Local","Altura","Producao"
"L1","29.4","788.88"
"L1","29.2","797.94"
"L1","30.2","728.16"
"L1","32.5","781.13"
"L1","32.2","801.58"
"L1","30.5","815.17"
"L1","32.1","828.85"
"L1","30.2","836.78"
"L1","31.4","718.9"
"L1","30.1","772.06"
"L1","30.1","789.47"
"L1","28.7","803.91"
"L1","28.5","784.49"
"L1","26.5","738.34"
"L1","29.6","819.36"
"L2","30.8","779.17"
"L2","31.7","846.12"
"L2","31.5","829.43"
"L2","31.7","862.14"
"L2","31","836.4"
"L2","31.9","843.31"
"L2","31.3","835.96"
"L2","31.7","848.65"
"L2","30.5","852.99"
"L2","30.7","803.5"
"L2","31.6","808.37"
"L2","32.4","783.53"
"L2","31.8","805.85"
"L2","32.4","795.77"
"L2","32.5","812.17"
"L3","29.5","756.6"
"L3","30.2","761.35"
"L3","30.1","760.96"
"L3","29.7","716.1"
"L3","29.5","761.86"
"L3","30.1","713.27"
"L3","30.5","741.63"
"L3","30.2","755.04"
"L3","29.9","741.62"
"L3","29.6","804.19"
"L3","28.9","693.46"
"L3","30.1","732.34"
"L3","29.9","762.54"
"L3","30.1","687.99"
"L3","30.6","734.03"
